Book Name,Author,Image Link,Rating,Customer Rating,Price
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,Dale Carnegie,"https://images-eu.ssl-images-amazon.com/images/I/71frknp-CWL._AC_UL302_SR302,200_.jpg",4.5 out of 5 stars,"18,789",₹299.00
Spoken English Course (Telugu),Vashista 360,"https://images-eu.ssl-images-amazon.com/images/I/71CWkVIhrKL._AC_UL302_SR302,200_.jpg",4.2 out of 5 stars,"5,425",₹261.00
"The Courage To Be Disliked: How to free yourself, change your life and achieve real happiness (Courage To series)",Ichiro Kishimi and Fumitake Koga,"https://images-eu.ssl-images-amazon.com/images/I/71k7V0QvcdL._AC_UL302_SR302,200_.jpg",4.5 out of 5 stars,"3,110",₹299.00
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,"https://images-eu.ssl-images-amazon.com/images/I/814jC+rODgL._AC_UL302_SR302,200_.jpg",4.5 out of 5 stars,"65,945",₹302.00
Colour With Crayons Book 1 for Kids Age 1 -6 Years - Drawing and Colouring Book for Early Learners,Dreamland Publications,"https://images-eu.ssl-images-amazon.com/images/I/81GEhSSrjKL._AC_UL302_SR302,200_.jpg",4.2 out of 5 stars,"5,815",₹52.00
UGC NET /SET/JRF Paper 1 Teaching and Research Aptitude - 2019- 2021 fully solved papers including Oct- Dec 2021 | Includes N,KVS MADAN,"https://images-eu.ssl-images-amazon.com/images/I/51emmAYEgqL._AC_UL302_SR302,200_.jpg",4.4 out of 5 stars,"1,988",₹360.00
General Knowledge,Dr. Binay Karna,"https://images-eu.ssl-images-amazon.com/images/I/A17fPOnXNmL._AC_UL302_SR302,200_.jpg",4.4 out of 5 stars,"19,816",₹155.00
Rich Dad Poor Dad - 20Th Anniversary Edition - Hindi,Robert T. Kiyosaki,"https://images-eu.ssl-images-amazon.com/images/I/6196RAUWoyL._AC_UL302_SR302,200_.jpg",4.5 out of 5 stars,"10,749",₹260.00
The Diary of a Young Girl,Anne Frank,"https://images-eu.ssl-images-amazon.com/images/I/81lZ-9E4F-S._AC_UL302_SR302,200_.jpg",4.6 out of 5 stars,"25,079",₹90.00
Trading Chart Breakout Pattern Pocket Study,Akash Kundur,"https://images-eu.ssl-images-amazon.com/images/I/71by+XF7xwL._AC_UL302_SR302,200_.jpg",4.2 out of 5 stars,19,₹199.00
Pathfinder NDA/NA National Defence Academy & Naval Academy Entrance Examination,Arihant Experts,"https://images-eu.ssl-images-amazon.com/images/I/81jeiB3E7oL._AC_UL302_SR302,200_.jpg",4.5 out of 5 stars,169,₹430.00
DO EPIC SHIT,Ankur Warikoo,"https://images-eu.ssl-images-amazon.com/images/I/41+grDTP2FL._AC_UL302_SR302,200_.jpg",4.5 out of 5 stars,"4,385",₹248.00
"MTG Objective NCERT at your FINGERTIPS - Chemistry, Best Books for NEET & JEE Preparation (Based on NCERT Pattern - Latest & ",MTG Editorial Board,"https://images-eu.ssl-images-amazon.com/images/I/81usodzGkiL._AC_UL302_SR302,200_.jpg",4.5 out of 5 stars,498,₹421.00
